koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
CONFIRMED,6.15560285,134.81656,0.235,4.9843,2.85E+02,1146,5739,4.191,1.384
CONFIRMED,2.090811305,134.17462,0.746,3.388,1.16E+02,1642,5739,4.191,1.384
CONFIRMED,3.180027898,133.49863,0.196,3.5797,1.20E+02,1458,5847,4.191,1.402
CONFIRMED,50.4467417,178.5014,0.379,7.159,3.70E+02,568,5739,4.191,1.384
CONFIRMED,11.76307164,180.93613,0.048,2.9076,1.04E+03,616,4959,4.603,0.756
CONFIRMED,56.2279271,132.29259,0.7,3.57,8.63E+02,366,4959,4.603,0.756
FALSE POSITIVE,2.384052875,171.58362,1.178,3.0918,1.27E+03,1010,4794,4.58,0.701
CONFIRMED,7.953547,174.66224,0.3,2.6312,8.75E+02,696,4768,4.536,0.779
CONFIRMED,4.14451656,135.92831,0.004,2.3421,3.92E+02,864,4768,4.536,0.779
FALSE POSITIVE,4.859386384,173.011469,1.259,2.2757,6.04E+03,1114,6072,4.47,0.988
CONFIRMED,10.52629458,176.522462,0.644,2.5211,9.77E+03,713,5386,4.553,0.793
CONFIRMED,4.583520948,169.973972,0.045,2.7055,3.81E+03,1038,5815,4.54,0.877
CONFIRMED,3.76181843,171.90364,0.926,3.5176,5.11E+02,1121,5653,4.472,0.949
CONFIRMED,8.20396958,169.69138,0.823,2.9667,1.02E+03,742,5015,4.499,0.826
CONFIRMED,14.49645186,143.41659,0.97,4.016,6.48E+02,613,5015,4.499,0.826
CONFIRMED,6.54626149,133.85964,0.644,2.75,6.56E+02,810,5251,4.581,0.817
CONFIRMED,12.71809866,175.35526,0.427,3.0957,1.15E+03,562,4702,4.592,0.686
CONFIRMED,36.06588163,198.58423,0.26,4.3246,1.56E+03,397,4702,4.592,0.686
CONFIRMED,4.190425659,171.44122,0.458,2.8589,2.88E+03,1234,6073,4.392,1.135
CONFIRMED,3.709870784,171.987982,0.023,3.0694,2.02E+03,1151,5727,4.463,0.978
CONFIRMED,16.3297527,177.29506,0.791,6.271,1.19E+03,727,5878,4.444,0.987
CONFIRMED,27.80756622,186.713552,0.782,4.21587,2.54E+04,554,5862,4.584,0.785
CONFIRMED,80.8723469,203.895,0.527,11.195,3.60E+03,452,5510,4.222,1.238
FALSE POSITIVE,3.166465862,172.002627,1.266,2.9381,4.36E+03,954,4968,4.575,0.704
CONFIRMED,24.99324319,138.68167,0.686,5.9409,2.70E+02,712,5718,4.181,1.317
CONFIRMED,10.35533116,170.93729,0.029,3.1775,7.51E+02,777,5501,4.462,0.918
CONFIRMED,16.08518937,180.28319,0.867,3.984,1.44E+03,613,5239,4.523,0.826
CANDIDATE,235.9986399,208.399822,0.778,8.2284,2.07E+04,188,4245,4.627,0.657
CONFIRMED,7.49018305,174.95037,0.02,2.7297,1.12E+03,753,5103,4.562,0.787
CONFIRMED,36.2761238,201.2869,0.035,4.7865,1.57E+03,445,5103,4.562,0.787
CONFIRMED,17.46087931,137.26594,0.594,2.2641,8.12E+02,568,5103,4.562,0.787
CONFIRMED,56.0560754,201.16578,0.018,4.685,1.63E+03,233,3593,4.757,0.491
CONFIRMED,41.40831669,195.78745,0.377,5.0264,2.28E+04,453,5522,4.586,0.747
CANDIDATE,39.74893077,172.854644,0.881,7.3051,1.52E+04,552,6122,4.487,0.964
CONFIRMED,5.715425977,174.87931,0.348,2.5242,9.08E+02,850,5237,4.572,0.826
CONFIRMED,49.18394185,141.911924,0.035,11.3364,1.65E+03,669,5626,3.907,2.057
CONFIRMED,20.0261412,146.91109,0.957,1.611,4.21E+02,559,5237,4.572,0.826
CANDIDATE,13.61014819,173.987319,1.081,2.594,5.73E+03,733,5697,4.46,0.903
FALSE POSITIVE,10.44331991,175.4046,0.23,2.743,1.16E+03,667,4947,4.516,0.802
CONFIRMED,2.237489571,170.81914,0.128,1.8119,3.16E+02,1160,5265,4.58,0.81
FALSE POSITIVE,5.851520671,173.8228336,0.211,3.11058,3.30E+04,901,5532,4.53,0.806
CONFIRMED,3.167893418,172.147959,0.026,2.1814,7.81E+02,1221,5895,4.503,0.94
CONFIRMED,4.311780262,173.576483,0.196,2.7251,1.15E+03,1038,5527,4.484,0.927
CONFIRMED,20.0504494,188.08821,0.383,4.556,8.41E+02,622,5527,4.484,0.927
CONFIRMED,9.76734503,186.57718,0.9,1.6585,5.69E+02,791,5527,4.484,0.927
CANDIDATE,119.0207044,222.236492,0.076,8.1405,7.43E+03,366,5453,4.342,1.062
CONFIRMED,190.3200468,312.68498,0.812,15.284,1.14E+03,426,5626,3.907,2.057
FALSE POSITIVE,2.861159894,171.648106,0.965,1.8832,1.01E+03,1355,6126,4.458,1.021
CONFIRMED,26.44439337,194.12074,0.03,3.9783,1.84E+03,562,5427,4.463,0.929
CONFIRMED,51.53997972,174.055011,0.183,6.3994,3.64E+03,450,5427,4.463,0.929
CONFIRMED,5.902245782,136.78393,0.209,2.9003,7.02E+02,926,5427,4.463,0.929
CONFIRMED,2.382951591,135.080841,0.479,1.8876,3.92E+02,1253,5427,4.463,0.929
CONFIRMED,21.02250608,207.67593,0.036,4.1072,1.77E+03,521,5067,4.585,0.75
CONFIRMED,3.219814777,133.00406,0.06,2.0642,4.88E+02,998,5103,4.562,0.787
CONFIRMED,5.912273234,172.184012,0.17,2.3254,9.61E+02,585,4072,4.696,0.57
CONFIRMED,8.98581901,175.68418,0.008,2.8606,8.81E+02,509,4072,4.696,0.57
CANDIDATE,12.94066866,179.423014,0.897,2.4845,4.25E+04,723,5875,4.572,0.809
FALSE POSITIVE,20.5452375,137.91394,0.95,2.517,2.19E+02,742,5670,4.206,1.264
CONFIRMED,33.60123371,186.680343,0.67,4.4056,7.43E+03,495,5149,4.447,0.93
CONFIRMED,6.76652928,138.0637,0.429,2.9004,4.51E+02,845,5149,4.447,0.93
CONFIRMED,4.347288783,172.23343,0.025,2.1024,4.52E+02,1174,5754,4.345,1.122
CONFIRMED,4.601811819,169.98108,0.567,2.2607,7.56E+02,896,4986,4.496,0.833
CONFIRMED,11.18719905,137.17814,0.387,3.252,3.54E+02,667,4986,4.496,0.833
CONFIRMED,4.220965778,170.622433,0.705,3.0854,2.26E+03,595,3837,4.747,0.517
FALSE POSITIVE,6.998099523,171.898913,7.361,2.0488,2.03E+04,853,5612,4.566,0.829
CONFIRMED,5.95489993,170.955871,0.327,2.3892,1.41E+03,635,4261,4.641,0.633
CONFIRMED,12.03987488,181.22536,0.286,2.7363,1.25E+03,502,4261,4.641,0.633
CONFIRMED,20.83762895,132.08488,0.706,2.3734,4.39E+02,418,4261,4.641,0.633
FALSE POSITIVE,8.8111022,136.4568,1.223,5.0683,4.01E+02,1399,6200,3.8,2.404
CONFIRMED,23.58917143,173.81994,0.926,5.073,1.20E+03,487,4919,4.566,0.721
CONFIRMED,6.481633073,122.977657,0.833,3.784,2.99E+02,1145,5945,4.213,1.302
CONFIRMED,10.37168928,172.61729,0.537,3.035,1.25E+03,720,5121,4.457,0.888
CONFIRMED,3.96996298,137.75447,0.836,1.1757,2.99E+02,992,5121,4.457,0.888
CONFIRMED,4.40841331,172.18582,0.899,5.012,5.49E+02,1139,6007,4.457,0.961
FALSE POSITIVE,7.9426176,174.52563,0.942,6.703,1.59E+03,878,5811,4.521,0.926
CONFIRMED,226.8904775,207.35971,0.731,7.558,3.14E+03,236,5067,4.585,0.75
FALSE POSITIVE,1.956811408,170.694208,1.091,2.1958,2.49E+04,1109,5209,4.657,0.603
CANDIDATE,2.688899233,170.1020904,0.001,2.11275,3.75E+04,929,4820,4.667,0.639
CONFIRMED,9.439459486,177.186096,0.049,2.8979,3.04E+03,686,5097,4.597,0.779
CONFIRMED,11.52306746,131.969055,0,3.8757,5.07E+02,927,5644,4.162,1.411
CONFIRMED,20.47748843,178.66786,0.497,2.8364,1.38E+03,530,5097,4.597,0.779
CONFIRMED,3.336123113,135.31623,0.252,1.9616,5.16E+02,970,5097,4.597,0.779
CONFIRMED,8.01078456,170.20739,0.192,2.312,1.33E+03,453,3713,4.779,0.47
CONFIRMED,12.07134205,143.45948,0.014,4.3224,7.59E+02,395,3713,4.779,0.47
CONFIRMED,20.99587872,152.31554,0.228,2.6333,7.67E+02,328,3713,4.779,0.47
CONFIRMED,7.41113177,175.34754,0.712,2.5242,6.21E+02,905,5849,4.517,0.919
FALSE POSITIVE,1.000747038,169.974229,0.908,0.9967,1.82E+03,1620,5472,4.499,0.79
CONFIRMED,8.884922995,169.991686,0.069,2.07004,1.61E+04,770,5332,4.5,0.843
CONFIRMED,8.09888906,176.623731,0.018,4.20241,6.91E+03,986,6214,4.442,1.076
CONFIRMED,10.00653012,176.96898,0.862,5.344,9.36E+02,876,6063,4.47,1.001
CONFIRMED,17.85522168,146.596466,0.075,7.41287,9.07E+03,911,6823,4.308,1.367
